Institute,Branch,Duration (Years),Degree Title,Quota,Seat Type,Gender,Opening Rank,Closing Rank
IIT Jodhpur,Civil and Infrastructure Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,11244,13316
IIT Jodhpur,Civil and Infrastructure Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),19028,21003
IIT Jodhpur,Computer Science and Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,2062,3061
IIT Jodhpur,Computer Science and Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),5655,7457
IIT Jodhpur,Electrical Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,4693,6346
IIT Jodhpur,Electrical Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),9003,11925
IIT Jodhpur,Materials Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,11381,13339
IIT Jodhpur,Materials Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),19921,22782
IIT Jodhpur,Mechanical Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,6984,9488
IIT Jodhpur,Mechanical Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),14797,18249
IIT Jodhpur,Physics with Specialization,4,Bachelor of Science,AI,OPEN,Gender-Neutral,10714,14641
IIT Jodhpur,Physics with Specialization,4,Bachelor of Science,AI,OPEN,Female-only (including Supernumerary),23402,23673
IIT Kanpur,Aerospace Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,2713,3638
IIT Kanpur,Aerospace Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),6950,10186
IIT Kanpur,Biological Sciences and Bioengineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,5259,6952
IIT Kanpur,Biological Sciences and Bioengineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),10725,12032
IIT Kanpur,Chemical Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,2227,4015
IIT Kanpur,Chemical Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),7129,9528
IIT Kanpur,Chemistry,4,Bachelor of Science,AI,OPEN,Gender-Neutral,7317,10498
IIT Kanpur,Chemistry,4,Bachelor of Science,AI,OPEN,Female-only (including Supernumerary),15079,16196
IIT Kanpur,Civil Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,4213,5948
IIT Kanpur,Civil Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),4232,13819
IIT Kanpur,Computer Science and Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,120,252
IIT Kanpur,Computer Science and Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),781,1117
IIT Kanpur,Earth Sciences,4,Bachelor of Science,AI,OPEN,Gender-Neutral,7210,10058
IIT Kanpur,Earth Sciences,4,Bachelor of Science,AI,OPEN,Female-only (including Supernumerary),16346,17618
IIT Kanpur,Economics,4,Bachelor of Science,AI,OPEN,Gender-Neutral,2137,3106
IIT Kanpur,Economics,4,Bachelor of Science,AI,OPEN,Female-only (including Supernumerary),5790,6326
IIT Kanpur,Electrical Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,743,1290
IIT Kanpur,Electrical Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),2616,3166
IIT Kanpur,Materials Science and Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,4831,6008
IIT Kanpur,Materials Science and Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),11438,13464
IIT Kanpur,Mathematics and Scientific Computing,4,Bachelor of Science,AI,OPEN,Gender-Neutral,756,990
IIT Kanpur,Mathematics and Scientific Computing,4,Bachelor of Science,AI,OPEN,Female-only (including Supernumerary),2288,3445
IIT Kanpur,Mechanical Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,1889,2776
IIT Kanpur,Mechanical Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),6470,8298
IIT Kanpur,Physics,4,Bachelor of Science,AI,OPEN,Gender-Neutral,3377,5508
IIT Kanpur,Physics,4,Bachelor of Science,AI,OPEN,Female-only (including Supernumerary),7470,16084
IIT Kanpur,Statistics and Data Science,4,Bachelor of Science,AI,OPEN,Gender-Neutral,699,1030
