Institute,Branch,Duration (Years),Degree Title,Quota,Seat Type,Gender,Opening Rank,Closing Rank
IIT Hyderabad,Civil Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),12330,15160
IIT Hyderabad,Computational Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,1368,1866
IIT Hyderabad,Computational Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),4136,4712
IIT Hyderabad,Computer Science and Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,339,673
IIT Hyderabad,Computer Science and Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),1294,2121
IIT Hyderabad,Electrical Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,848,1900
IIT Hyderabad,Electrical Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),3584,4295
IIT Hyderabad,Electrical Engineering (IC Design and Technology),4,Bachelor of Technology,AI,OPEN,Gender-Neutral,1644,1895
IIT Hyderabad,Electrical Engineering (IC Design and Technology),4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),3778,4071
IIT Hyderabad,Engineering Physics,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,3332,4686
IIT Hyderabad,Engineering Physics,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),7216,9760
IIT Hyderabad,Engineering Science,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,2225,3272
IIT Hyderabad,Engineering Science,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),5901,6682
IIT Hyderabad,Industrial Chemistry,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,7757,10043
IIT Hyderabad,Industrial Chemistry,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),15962,16983
IIT Hyderabad,Materials Science and Metallurgical Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,6084,7604
IIT Hyderabad,Materials Science and Metallurgical Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),10359,15504
IIT Hyderabad,Mathematics and Computing,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,771,1015
IIT Hyderabad,Mathematics and Computing,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),2700,2758
IIT Hyderabad,Mechanical Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,2837,4443
IIT Hyderabad,Mechanical Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),6897,9524
